facet,facet_value,subset,n,pass_at_1_nemo,pass_at_1_deepseek,delta
query_format,instruction,all,473,86.7,86.3,-0.42
query_format,keyword,all,272,82.0,86.8,4.78
query_format,question,all,765,84.3,85.8,1.44
query_format,instruction,computer_science,65,92.3,90.8,-1.54
query_format,keyword,computer_science,35,97.1,97.1,0.0
query_format,question,computer_science,115,92.2,97.4,5.22
query_format,instruction,finance_en,77,85.7,84.4,-1.3
query_format,keyword,finance_en,41,75.6,80.5,4.88
query_format,question,finance_en,191,78.5,80.6,2.09
query_format,instruction,finance_fr,113,79.6,79.6,0.0
query_format,keyword,finance_fr,62,79.0,82.3,3.23
query_format,question,finance_fr,145,75.9,73.1,-2.76
query_format,instruction,pharmaceuticals,127,87.4,87.4,0.0
query_format,keyword,pharmaceuticals,57,73.7,86.0,12.28
query_format,question,pharmaceuticals,180,92.8,91.7,-1.11
query_format,instruction,physics,91,91.2,91.2,0.0
query_format,keyword,physics,77,87.0,89.6,2.6
query_format,question,physics,134,83.6,88.8,5.22
source_type,image,all,470,85.3,84.9,-0.43
source_type,summary,all,1040,84.3,86.6,2.31
source_type,image,computer_science,68,94.1,97.1,2.94
source_type,summary,computer_science,147,92.5,94.6,2.04
source_type,image,finance_en,101,90.1,85.1,-4.95
source_type,summary,finance_en,208,75.0,79.8,4.81
source_type,image,finance_fr,122,74.6,73.0,-1.64
source_type,summary,finance_fr,198,79.8,79.8,0.0
source_type,image,pharmaceuticals,105,85.7,85.7,0.0
source_type,summary,pharmaceuticals,259,88.8,90.7,1.93
source_type,image,physics,74,87.8,91.9,4.05
source_type,summary,physics,228,86.4,89.0,2.63
query_types,boolean,all,147,85.7,87.8,2.04
query_types,compare-contrast,all,292,84.6,85.3,0.68
query_types,enumerative,all,194,80.4,80.9,0.52
query_types,extractive,all,540,81.3,82.6,1.3
query_types,multi-hop,all,118,89.8,91.5,1.69
query_types,numerical,all,297,73.7,74.1,0.34
query_types,open-ended,all,506,89.9,91.5,1.58
query_types,boolean,computer_science,20,100.0,100.0,0.0
query_types,compare-contrast,computer_science,59,96.6,98.3,1.69
query_types,enumerative,computer_science,42,85.7,88.1,2.38
query_types,extractive,computer_science,74,87.8,87.8,0.0
query_types,multi-hop,computer_science,23,91.3,100.0,8.7
query_types,numerical,computer_science,8,62.5,75.0,12.5
query_types,open-ended,computer_science,67,98.5,100.0,1.49
query_types,boolean,finance_en,48,81.2,85.4,4.17
query_types,compare-contrast,finance_en,52,78.8,78.8,0.0
query_types,enumerative,finance_en,33,78.8,81.8,3.03
query_types,extractive,finance_en,136,78.7,82.4,3.68
query_types,multi-hop,finance_en,24,75.0,79.2,4.17
query_types,numerical,finance_en,101,71.3,71.3,0.0
query_types,open-ended,finance_en,54,92.6,85.2,-7.41
query_types,boolean,finance_fr,16,81.2,75.0,-6.25
query_types,compare-contrast,finance_fr,56,78.6,76.8,-1.79
query_types,enumerative,finance_fr,31,58.1,61.3,3.23
query_types,extractive,finance_fr,151,74.8,74.8,0.0
query_types,multi-hop,finance_fr,14,92.9,92.9,0.0
query_types,numerical,finance_fr,105,72.4,73.3,0.95
query_types,open-ended,finance_fr,90,80.0,81.1,1.11
query_types,boolean,pharmaceuticals,38,86.8,86.8,0.0
query_types,compare-contrast,pharmaceuticals,59,79.7,83.1,3.39
query_types,enumerative,pharmaceuticals,58,89.7,82.8,-6.9
query_types,extractive,pharmaceuticals,102,90.2,88.2,-1.96
query_types,multi-hop,pharmaceuticals,35,94.3,91.4,-2.86
query_types,numerical,pharmaceuticals,50,80.0,78.0,-2.0
query_types,open-ended,pharmaceuticals,144,91.7,96.5,4.86
query_types,boolean,physics,25,84.0,92.0,8.0
query_types,compare-contrast,physics,66,87.9,87.9,0.0
query_types,enumerative,physics,30,80.0,86.7,6.67
query_types,extractive,physics,77,80.5,85.7,5.19
query_types,multi-hop,physics,22,95.5,95.5,0.0
query_types,numerical,physics,33,78.8,78.8,0.0
query_types,open-ended,physics,151,89.4,91.4,1.99
content_type,Chart,all,175,83.4,85.7,2.29
content_type,Image,all,150,91.3,93.3,2.0
content_type,Infographic,all,274,88.0,89.1,1.09
content_type,Mixed,all,157,86.6,89.2,2.55
content_type,N/A (If relevance score=0),all,10,100.0,100.0,0.0
content_type,Other,all,52,92.3,88.5,-3.85
content_type,Table,all,594,80.0,80.6,0.67
content_type,Text,all,1372,85.9,87.5,1.53
content_type,Chart,computer_science,10,80.0,90.0,10.0
content_type,Image,computer_science,5,80.0,80.0,0.0
content_type,Infographic,computer_science,47,93.6,91.5,-2.13
content_type,N/A (If relevance score=0),computer_science,3,100.0,100.0,0.0
content_type,Other,computer_science,12,83.3,75.0,-8.33
content_type,Table,computer_science,77,92.2,94.8,2.6
content_type,Text,computer_science,209,92.8,95.2,2.39
content_type,Chart,finance_en,20,90.0,90.0,0.0
content_type,Image,finance_en,1,100.0,100.0,0.0
content_type,Infographic,finance_en,4,100.0,75.0,-25.0
content_type,N/A (If relevance score=0),finance_en,3,100.0,100.0,0.0
content_type,Table,finance_en,173,75.1,76.9,1.73
content_type,Text,finance_en,291,80.8,82.1,1.37
content_type,Chart,finance_fr,29,89.7,86.2,-3.45
content_type,Image,finance_fr,6,66.7,83.3,16.67
content_type,Infographic,finance_fr,33,75.8,78.8,3.03
content_type,Mixed,finance_fr,13,69.2,76.9,7.69
content_type,Table,finance_fr,210,76.2,75.2,-0.95
content_type,Text,finance_fr,246,79.7,79.7,0.0
content_type,Chart,pharmaceuticals,71,80.3,81.7,1.41
content_type,Image,pharmaceuticals,47,97.9,95.7,-2.13
content_type,Infographic,pharmaceuticals,97,90.7,91.8,1.03
content_type,N/A (If relevance score=0),pharmaceuticals,4,100.0,100.0,0.0
content_type,Other,pharmaceuticals,8,100.0,87.5,-12.5
content_type,Table,pharmaceuticals,88,84.1,86.4,2.27
content_type,Text,pharmaceuticals,343,88.3,89.8,1.46
content_type,Chart,physics,45,82.2,88.9,6.67
content_type,Image,physics,91,90.1,93.4,3.3
content_type,Infographic,physics,93,86.0,89.2,3.23
content_type,Mixed,physics,144,88.2,90.3,2.08
content_type,Other,physics,32,93.8,93.8,0.0
content_type,Table,physics,46,87.0,84.8,-2.17
content_type,Text,physics,283,88.7,91.2,2.47
