facet,facet_value,subset,n,closed_book_pass,hybrid_deepseek_pass,gain_pts
query_format,instruction,all,473,69.3,86.3,16.91
query_format,keyword,all,272,68.0,86.8,18.75
query_format,question,all,765,65.5,85.8,20.26
query_format,instruction,computer_science,65,86.2,90.8,4.62
query_format,keyword,computer_science,35,94.3,97.1,2.86
query_format,question,computer_science,115,93.9,97.4,3.48
query_format,instruction,finance_en,77,62.3,84.4,22.08
query_format,keyword,finance_en,41,48.8,80.5,31.71
query_format,question,finance_en,191,55.0,80.6,25.65
query_format,instruction,finance_fr,113,41.6,79.6,38.05
query_format,keyword,finance_fr,62,41.9,82.3,40.32
query_format,question,finance_fr,145,39.3,73.1,33.79
query_format,instruction,pharmaceuticals,127,75.6,87.4,11.81
query_format,keyword,pharmaceuticals,57,68.4,86.0,17.54
query_format,question,pharmaceuticals,180,63.3,91.7,28.33
query_format,instruction,physics,91,89.0,91.2,2.2
query_format,keyword,physics,77,87.0,89.6,2.6
query_format,question,physics,134,87.3,88.8,1.49
source_type,image,all,470,60.2,84.9,24.68
source_type,summary,all,1040,70.3,86.6,16.35
source_type,image,computer_science,68,92.6,97.1,4.41
source_type,summary,computer_science,147,91.2,94.6,3.4
source_type,image,finance_en,101,60.4,85.1,24.75
source_type,summary,finance_en,208,53.8,79.8,25.96
source_type,image,finance_fr,122,36.1,73.0,36.89
source_type,summary,finance_fr,198,43.4,79.8,36.36
source_type,image,pharmaceuticals,105,51.4,85.7,34.29
source_type,summary,pharmaceuticals,259,75.3,90.7,15.44
source_type,image,physics,74,82.4,91.9,9.46
source_type,summary,physics,228,89.5,89.0,-0.44
query_types,boolean,all,147,72.1,87.8,15.65
query_types,compare-contrast,all,292,71.9,85.3,13.36
query_types,enumerative,all,194,60.3,80.9,20.62
query_types,extractive,all,540,54.3,82.6,28.33
query_types,multi-hop,all,118,68.6,91.5,22.88
query_types,numerical,all,297,36.4,74.1,37.71
query_types,open-ended,all,506,82.8,91.5,8.7
query_types,boolean,computer_science,20,95.0,100.0,5.0
query_types,compare-contrast,computer_science,59,96.6,98.3,1.69
query_types,enumerative,computer_science,42,78.6,88.1,9.52
query_types,extractive,computer_science,74,86.5,87.8,1.35
query_types,multi-hop,computer_science,23,82.6,100.0,17.39
query_types,numerical,computer_science,8,87.5,75.0,-12.5
query_types,open-ended,computer_science,67,97.0,100.0,2.99
query_types,boolean,finance_en,48,60.4,85.4,25.0
query_types,compare-contrast,finance_en,52,63.5,78.8,15.38
query_types,enumerative,finance_en,33,48.5,81.8,33.33
query_types,extractive,finance_en,136,52.2,82.4,30.15
query_types,multi-hop,finance_en,24,50.0,79.2,29.17
query_types,numerical,finance_en,101,44.6,71.3,26.73
query_types,open-ended,finance_en,54,66.7,85.2,18.52
query_types,boolean,finance_fr,16,68.8,75.0,6.25
query_types,compare-contrast,finance_fr,56,37.5,76.8,39.29
query_types,enumerative,finance_fr,31,35.5,61.3,25.81
query_types,extractive,finance_fr,151,30.5,74.8,44.37
query_types,multi-hop,finance_fr,14,57.1,92.9,35.71
query_types,numerical,finance_fr,105,22.9,73.3,50.48
query_types,open-ended,finance_fr,90,53.3,81.1,27.78
query_types,boolean,pharmaceuticals,38,76.3,86.8,10.53
query_types,compare-contrast,pharmaceuticals,59,69.5,83.1,13.56
query_types,enumerative,pharmaceuticals,58,56.9,82.8,25.86
query_types,extractive,pharmaceuticals,102,52.9,88.2,35.29
query_types,multi-hop,pharmaceuticals,35,60.0,91.4,31.43
query_types,numerical,pharmaceuticals,50,18.0,78.0,60.0
query_types,open-ended,pharmaceuticals,144,85.4,96.5,11.11
query_types,boolean,physics,25,72.0,92.0,20.0
query_types,compare-contrast,physics,66,87.9,87.9,0.0
query_types,enumerative,physics,30,80.0,86.7,6.67
query_types,extractive,physics,77,75.3,85.7,10.39
query_types,multi-hop,physics,22,95.5,95.5,0.0
query_types,numerical,physics,33,69.7,78.8,9.09
query_types,open-ended,physics,151,97.4,91.4,-5.96
content_type,Chart,all,175,66.9,85.7,18.86
content_type,Image,all,150,84.7,93.3,8.67
content_type,Infographic,all,274,79.6,89.1,9.49
content_type,Mixed,all,157,85.4,89.2,3.82
content_type,N/A (If relevance score=0),all,10,70.0,100.0,30.0
content_type,Other,all,52,96.2,88.5,-7.69
content_type,Table,all,594,56.6,80.6,24.07
content_type,Text,all,1372,69.3,87.5,18.15
content_type,Chart,computer_science,10,100.0,90.0,-10.0
content_type,Image,computer_science,5,60.0,80.0,20.0
content_type,Infographic,computer_science,47,87.2,91.5,4.26
content_type,N/A (If relevance score=0),computer_science,3,66.7,100.0,33.33
content_type,Other,computer_science,12,91.7,75.0,-16.67
content_type,Table,computer_science,77,92.2,94.8,2.6
content_type,Text,computer_science,209,91.4,95.2,3.83
content_type,Chart,finance_en,20,55.0,90.0,35.0
content_type,Image,finance_en,1,100.0,100.0,0.0
content_type,Infographic,finance_en,4,75.0,75.0,0.0
content_type,N/A (If relevance score=0),finance_en,3,66.7,100.0,33.33
content_type,Table,finance_en,173,52.0,76.9,24.86
content_type,Text,finance_en,291,56.7,82.1,25.43
content_type,Chart,finance_fr,29,51.7,86.2,34.48
content_type,Image,finance_fr,6,50.0,83.3,33.33
content_type,Infographic,finance_fr,33,39.4,78.8,39.39
content_type,Mixed,finance_fr,13,30.8,76.9,46.15
content_type,Table,finance_fr,210,38.1,75.2,37.14
content_type,Text,finance_fr,246,44.3,79.7,35.37
content_type,Chart,pharmaceuticals,71,57.7,81.7,23.94
content_type,Image,pharmaceuticals,47,87.2,95.7,8.51
content_type,Infographic,pharmaceuticals,97,81.4,91.8,10.31
content_type,N/A (If relevance score=0),pharmaceuticals,4,75.0,100.0,25.0
content_type,Other,pharmaceuticals,8,100.0,87.5,-12.5
content_type,Table,pharmaceuticals,88,62.5,86.4,23.86
content_type,Text,pharmaceuticals,343,69.1,89.8,20.7
content_type,Chart,physics,45,88.9,88.9,0.0
content_type,Image,physics,91,86.8,93.4,6.59
content_type,Infographic,physics,93,88.2,89.2,1.08
content_type,Mixed,physics,144,90.3,90.3,0.0
content_type,Other,physics,32,96.9,93.8,-3.12
content_type,Table,physics,46,87.0,84.8,-2.17
content_type,Text,physics,283,88.0,91.2,3.18
