timestamp,condition,subset,lang,pass_at_1,num_correct,num_total
2026-03-30T14:32:10.274853,jina_nemo,computer_science,english,0.9163,197,215
2026-03-31T10:32:29.986476,jina_nemo,finance_en,english,0.7961,246,309
2026-03-31T10:43:06.618407,jina_nemo,pharmaceuticals,english,0.8242,300,364
2026-03-30T14:51:30.726786,jina_nemo_reranked,computer_science,english,0.9256,199,215
2026-03-31T10:51:46.028910,jina_nemo_reranked,finance_en,english,0.8350,258,309
2026-03-31T11:02:24.381850,jina_nemo_reranked,pharmaceuticals,english,0.8846,322,364
2026-03-30T14:39:54.727036,jina_deepseek,computer_science,english,0.9070,195,215
2026-03-31T08:56:04.796662,jina_deepseek,finance_en,english,0.7379,228,309
2026-03-31T09:06:30.748195,jina_deepseek,pharmaceuticals,english,0.8242,300,364
2026-03-30T14:58:39.178323,jina_deepseek_reranked,computer_science,english,0.9535,205,215
2026-03-31T09:15:12.967856,jina_deepseek_reranked,finance_en,english,0.7896,244,309
2026-03-31T09:25:42.718372,jina_deepseek_reranked,pharmaceuticals,english,0.8846,322,364
2026-03-30T15:07:11.392355,colembed,computer_science,english,0.9302,200,215
2026-03-31T09:34:08.698498,colembed,finance_en,english,0.7476,231,309
2026-03-31T09:44:33.306956,colembed,pharmaceuticals,english,0.8324,303,364
2026-03-30T15:20:29.149678,hybrid_nemo,computer_science,english,0.9302,200,215
2026-03-31T09:53:07.729705,hybrid_nemo,finance_en,english,0.7994,247,309
2026-03-31T10:03:37.260924,hybrid_nemo,pharmaceuticals,english,0.8791,320,364
2026-03-30T15:29:22.984238,hybrid_deepseek,computer_science,english,0.9535,205,215
2026-03-31T10:12:10.176402,hybrid_deepseek,finance_en,english,0.8155,252,309
2026-03-31T10:22:47.436335,hybrid_deepseek,pharmaceuticals,english,0.8929,325,364
2026-04-17T13:53:32.071591,jina_nemo,physics,french,0.8709,263,302
2026-04-17T14:10:56.387207,colembed,physics,french,0.8311,251,302
2026-04-17T14:20:10.026782,hybrid_nemo,physics,french,0.8675,262,302
2026-04-17T14:29:27.506252,hybrid_deepseek,physics,french,0.8974,271,302
2026-04-17T15:19:44.661855,jina_nemo_reranked,physics,french,0.9205,278,302
2026-04-17T15:24:23.898774,jina_deepseek,physics,french,0.8377,253,302
2026-04-17T15:32:09.958675,jina_deepseek_reranked,physics,french,0.9007,272,302
2026-04-18T21:40:01.243159,jina_nemo,finance_fr,french,0.7375,236,320
2026-04-18T21:49:00.935203,jina_nemo_reranked,finance_fr,french,0.8094,259,320
2026-04-18T21:58:02.300244,jina_deepseek,finance_fr,french,0.7344,235,320
2026-04-18T22:06:59.832468,jina_deepseek_reranked,finance_fr,french,0.8031,257,320
2026-04-18T22:15:50.503301,colembed,finance_fr,french,0.7031,225,320
2026-04-18T22:24:40.933012,hybrid_nemo,finance_fr,french,0.7781,249,320
2026-04-18T22:33:29.134349,hybrid_deepseek,finance_fr,french,0.7719,247,320
